PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
PROVISIONES;55741;1350;103357;28684;614402;47455;48018;2087;20092;47381;8124;55984;127555;38704;71056;2432;2937
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1441857;0;23381;0;0;0;428660;0;0;0;896289;0;37000;0
CRÉDITOS DIFERIDOS;7503;4457;117682;92260;82896;28962;162;4228;6366;34761;12;44828;93792;50508;54146;623;31341
SUMA;5423600;1646760;23623164;100035209;76773492;10108938;4481708;611341;2742632;15801942;1269750;31287862;29016299;50515585;1357945;803478;360760
OTRAS CUENTAS ACREEDORAS;44603;7789;332938;104789;487411;34903;0;10254;1918;78122;0;182673;159548;120315;16537;1954;5344
CAPITAL CONTABLE;233773;332799;3883442;9108694;7896627;1036695;342815;153750;318948;1605074;197730;3010380;2636163;5115743;559955;125088;59213
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;105001;109000;48000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;200000;500000;100000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;94999;391000;52000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;220553;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;790311;13895;2791385;3550385;5795403;234895;35048;11396;14721;627495;11137;384523;345015;1524495;369499;841;884
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;158181;63632;35883;55879;23155;12757;0;10521;0;4993;0;23745;22015;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;10429;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;41013;0;90083;0;10541;0;0;0;0;-5812;12822;240406;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-959735;-17040;9170;0;0;0;131493;0;48203;184032;84385;1172373;465388;0;0;6157;33
RESULTADOS DEL EJERCICIO;80449;21143;806147;1572082;936186;147212;91181;5634;51094;252957;2032;405785;95498;529355;85454;9090;10297
TOTAL IGUAL A LA SUMA DEL ACTIVO;5701976;1987348;27839545;109248691;85157529;11180537;4824523;775345;3063499;17485138;1467480;34480915;31812010;55751644;1934437;930519;425317
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;253736;138121;3589276;6426037;6310311;685718;147764;67966;525654;2199580;444602;2335113;2170558;3234567;721906;78597;47158
GASTOS FINANCIEROS;114808;52609;1486429;3120482;2296440;335349;23431;31639;141825;713220;88030;940988;948541;1696296;57066;48571;20221
MARGEN POR INVERSIÓN;138928;85512;2102847;3305555;4013871;350369;124333;36327;383829;1486360;356572;1394125;1222016;1538271;664841;30026;26937
PRODUCTOS POR SERVICIOS;988268;12075;35764;422627;890411;64774;4140;866;20861;353957;9261;92242;212832;329687;100189;360;1735
GASTOS POR SERVICIOS;14800;5485;33577;0;0;11133;14;1;52490;99069;11927;84668;122397;27572;42381;357;328
MARGEN POR SERVICIOS;973468;6590;2186;422627;890411;53641;4125;865;-31629;254889;-2667;7574;90435;302115;57808;3;1407
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;3239;2557;16706;746699;316687;130468;123898;2017;9833;71225;137;309933;91568;282827;9162;1166;68
Gastos;45021;2869;216077;762468;1233283;115265;10416;4777;114447;759902;198859;476215;593186;555369;125992;1405;134
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-41782;-312;-199371;-15770;-916596;15203;113482;-2760;-104614;-688677;-198722;-166281;-501618;-272542;-116830;-239;-66
MARGEN OPERACIONAL BRUTO;1070614;91790;1905662;3712412;3987687;419213;241940;34432;247587;1052571;155184;1235417;810834;1567844;605819;29791;28278
GASTOS DE ADMINISTRACIÓN;256662;71239;969826;2075202;2964391;266926;134636;31853;218171;931282;165208;734387;780061;1064102;515070;18758;17357
MARGEN OPERACIONAL NETO;813951;20552;935837;1637209;1023297;152287;107304;2579;29416;121289;-10024;501030;30773;503742;90750;11032;10921
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-761188;435;56022;59039;-39669;620;1495;3885;29452;147071;13881;17185;70457;74839;24291;3;404
Productos Extraordinarios;193789;2599;59061;65733;44847;2384;1618;5445;30862;155680;13881;40212;85576;80058;31924;3;631
Gastos Extraordinarios;954976;2164;3039;6695;84517;1764;124;1560;1410;8609;0;23027;15119;5219;7633;0;227
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;27685;156;-12203;2321;-10501;-808;85;13;-864;-1052;-459;0;6870;-7246;1527;-1322;-593
Productos de Ejercicios Anteriores;28465;1363;4004;3425;37413;96;436;17;2;237;599;0;8703;17934;1527;338;4
Gastos de Ejercicios Anteriores;779;1207;16208;1104;47914;903;351;4;866;1289;1058;0;1833;25180;0;1660;598
GANANCIA (PÉRDIDA) BRUTA;80449;21143;979655;1698569;973126;152100;108884;6476;58004;267308;3398;518215;108099;571336;116567;9713;10732
IMPUESTO SOBRE LA RENTA;0;0;173508;126487;36940;4888;17702;843;6910;14351;1366;112431;12601;41981;31113;623;435
GANANCIA (PÉRDIDA) NETA;80449;21143;806147;1572082;936186;147212;91181;5634;51094;252957;2032;405785;95498;529355;85454;9090;10297
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
