PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
PROVISIONES;52359;2379;127261;68456;678824;52256;45210;2408;22855;53301;14309;63909;139014;62276;0;77921;2174
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1442251;0;23388;0;0;0;428777;0;0;0;896534;0;0;37000
CRÉDITOS DIFERIDOS;24616;3789;110723;89646;79707;27530;84;4622;5599;35448;26;36143;92379;45250;0;71438;673
SUMA;4920479;1559112;25021537;97886822;75347913;9762863;3691924;607452;2482925;15223861;1252688;30735402;29204977;50806494;0;1345967;825073
OTRAS CUENTAS ACREEDORAS;43465;9001;334178;45010;495905;35399;0;10935;2249;62124;5;175786;167485;56291;0;29007;2455
CAPITAL CONTABLE;186934;326194;3829195;8855745;7897965;997042;418447;155690;311763;1809052;206379;3003632;2654118;5076982;0;539434;120828
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;0;105001;109000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;0;200000;500000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;0;94999;391000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;220553;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;790967;13895;2909006;3550385;6031578;234895;35048;11396;14721;847495;11137;384523;345015;1586344;0;369499;841
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;158917;64019;35299;55918;23155;12757;0;10554;0;10766;0;23966;22149;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;8378;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;34375;0;77578;0;7407;0;50;0;0;18695;9615;202904;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-959735;-17040;9170;0;0;0;217623;0;48203;184032;84385;1172373;465388;0;0;0;6157
RESULTADOS DEL EJERCICIO;32218;14151;641502;1319093;713854;107558;81765;7541;43859;231161;10681;374308;116525;466247;0;64933;4831
TOTAL IGUAL A LA SUMA DEL ACTIVO;5150878;1894307;29184911;106787577;83741783;10795303;4110371;774077;2796938;17095036;1459073;33914821;32026580;55939767;0;1914408;948356
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;213870;114947;2977746;5398856;5143298;576153;126533;56421;435159;1927986;379714;1900303;1792975;2745208;0;554037;63168
GASTOS FINANCIEROS;92927;43540;1251898;2624913;1922490;284689;18862;26201;117162;590387;72858;781152;775580;1431623;0;48009;40965
MARGEN POR INVERSIÓN;120943;71406;1725848;2773943;3220808;291464;107671;30220;317998;1337598;306856;1119151;1017394;1313585;0;506028;22203
PRODUCTOS POR SERVICIOS;597121;8276;30232;316517;705789;52423;3368;757;17926;293787;7855;75808;172532;265699;0;78494;292
GASTOS POR SERVICIOS;17041;4471;26908;0;0;9867;6;0;41855;81019;8191;72995;100166;22624;0;32002;235
MARGEN POR SERVICIOS;580080;3805;3325;316517;705789;42556;3362;757;-23930;212768;-336;2813;72366;243075;0;46492;58
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;2922;2032;8848;632378;220439;100814;102112;1981;7922;60761;138;256784;76561;215862;0;6752;1172
