PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
PROVISIONES;53827;2965;144714;19775;699282;44972;46218;2624;24456;59419;14096;67493;144864;54532;80180;2281;3495
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1445599;0;23442;0;0;0;429773;0;0;0;898616;0;37000;0
CRÉDITOS DIFERIDOS;24751;3985;119695;87323;83296;29301;89;4466;5913;34884;16;38911;93118;44049;60872;684;30502
SUMA;4761887;1610424;23781054;98151572;75826016;10052004;3802967;617620;2527007;15861364;1276404;31109125;29186714;50499405;1343543;814114;352226
OTRAS CUENTAS ACREEDORAS;44363;7900;336816;32605;502080;30490;0;10584;2457;63219;5;178348;185842;53647;27090;2416;5557
CAPITAL CONTABLE;191427;327362;3911537;8995128;8105370;1007510;426088;156116;316804;1756883;206474;3054627;2647675;5131986;547235;123088;58459
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;105001;109000;48000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;200000;500000;100000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;94999;391000;52000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;220553;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;790327;13895;2909006;3550385;6138099;234895;35048;11396;14721;779495;11137;384523;345015;1586374;369499;841;884
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;158549;63825;34995;55899;23155;12757;0;10538;0;5023;0;23856;22072;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;8378;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;36845;0;82732;0;7688;0;0;0;0;23884;10425;218444;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-959735;-17040;9170;0;0;0;217623;0;48203;184032;84385;1172373;465388;0;0;6157;33
RESULTADOS DEL EJERCICIO;37718;15512;721677;1458496;809585;118026;89126;7983;48950;252735;10775;420224;109349;505681;72735;7090;9542
TOTAL IGUAL A LA SUMA DEL ACTIVO;4997677;1945686;28029407;107179306;84433466;11090004;4229056;784319;2846268;17681466;1482883;34342100;32020230;55685038;1917869;939617;416242
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;231872;125992;3280795;5945538;5704968;632071;137208;62396;479994;2100332;413369;2082076;1955819;3019496;633350;71331;42476
GASTOS FINANCIEROS;102772;48050;1367025;2868234;2111329;309661;20593;28875;129183;651056;80327;860551;852341;1563053;52414;44821;18105
MARGEN POR INVERSIÓN;129099;77941;1913770;3077304;3593638;322410;116615;33521;350811;1449276;333042;1221525;1103478;1456444;580936;26510;24371
PRODUCTOS POR SERVICIOS;628024;10220;33038;349989;795892;57929;3748;812;19309;322576;8540;83924;190622;295142;88525;322;1514
GASTOS POR SERVICIOS;18360;4944;29240;0;0;10491;6;0;46856;89794;9686;78078;110154;24813;37051;250;248
MARGEN POR SERVICIOS;609664;5276;3799;349989;795892;47438;3742;812;-27548;232782;-1145;5846;80467;270329;51474;73;1267
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;3180;2264;10788;688465;239558;104492;114531;2002;8746;65950;156;285227;83011;254945;7947;1335;63
Gastos;40967;4421;183805;722935;1083282;105937;10260;2277;101321;786793;174522;341769;511229;521397;107240;868;146
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-37787;-2157;-173017;-34470;-843723;-1445;104271;-274;-92575;-720843;-174365;-56542;-428218;-266452;-99293;468;-83
MARGEN OPERACIONAL BRUTO;700977;81060;1744552;3392823;3545807;368403;224628;34059;230688;961215;157531;1170829;755727;1460321;533117;27050;25555
GASTOS DE ADMINISTRACIÓN;223363;65787;906985;1877890;2703730;245888;121351;29267;199891;828625;153844;661473;691594;964612;460056;16434;15351
MARGEN OPERACIONAL NETO;477613;15274;837567;1514934;842077;122516;103277;4792;30797;132590;3687;509356;64133;495708;73060;10617;10204
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-451558;879;50794;54413;-19413;-222;1185;4572;26019;135238;11703;19890;58773;55918;23042;0;294
Productos Extraordinarios;158374;2596;52041;58224;38272;1341;1286;5232;26959;141848;11703;36188;72669;61044;28376;0;513
Gastos Extraordinarios;609932;1717;1247;3811;57685;1563;100;661;940;6610;0;16299;13897;5126;5335;0;219
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;11663;-640;-12768;618;14358;-748;128;13;-864;-885;-557;0;5086;-5775;1527;-1367;-512
Productos de Ejercicios Anteriores;12420;438;3379;1225;20665;1;431;17;2;236;499;0;6897;16315;1527;288;4
Gastos de Ejercicios Anteriores;757;1079;16147;607;6306;749;303;4;866;1121;1056;0;1812;22090;0;1655;517
GANANCIA (PÉRDIDA) BRUTA;37718;15512;875593;1569965;837022;121546;104591;9377;55952;266943;14833;529246;127992;545851;97629;9250;9985
IMPUESTO SOBRE LA RENTA;0;0;153916;111468;27437;3519;15465;1394;7002;14208;4058;109021;18642;40170;24895;2159;443
GANANCIA (PÉRDIDA) NETA;37718;15512;721677;1458496;809585;118026;89126;7983;48950;252735;10775;420224;109349;505681;72735;7090;9542
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;522942;203392;3273244;8503296;9851433;932490;428093;84445;222358;1455906;177492;2597020;2551714;4875750;153007;39387;6128
Encaje Requerido;517526;202435;3269938;8487722;9811250;930331;396130;83624;219103;1453281;176940;2567505;2539242;4859032;152510;38506;1239
Posición;5416;957;3307;15573;40183;2158;31963;822;3255;2625;551;29515;12472;16718;498;881;4889
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;1528;6684;31471;275069;50606;49824;31455;232;19063;74575;324;223129;131768;191020;790;7287;132
