PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
PROVISIONES;52275;3073;104321;33916;659400;45434;43347;2263;22230;50374;20487;67002;144203;41285;0;82962;1945
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1424548;0;23101;0;0;0;423514;0;0;0;962533;0;0;0
CRÉDITOS DIFERIDOS;4825;3814;111590;86045;74237;26936;44;5468;4713;35071;46;34890;91834;52254;0;40729;411
SUMA;5518977;1517357;23709487;93660502;71621342;9516738;3034968;555483;2349950;14579375;1196912;29754695;27531195;50243920;0;1243373;799885
OTRAS CUENTAS ACREEDORAS;39791;4459;332221;42179;465969;34224;0;11709;554;59950;5;198088;85369;49124;0;18771;1742
CAPITAL CONTABLE;169478;320135;3533353;8348946;7703821;948912;373287;154228;284124;1572745;205582;3024594;2634864;4868670;0;641076;118813
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;0;105001;109000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;0;200000;500000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;0;94999;391000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;219653;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;788750;13895;2909007;3550385;6138099;234895;35048;12136;14721;504311;11137;384523;345015;1747512;0;494499;841
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;160389;64803;36513;55998;23155;12757;0;10620;0;11025;0;24407;22458;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;8378;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;18217;0;54552;0;5611;0;18;0;0;3053;4792;33099;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-959735;-17040;9170;0;0;0;217623;0;48203;382216;84385;1328373;465388;0;0;0;6157
RESULTADOS DEL EJERCICIO;16406;7307;360602;812214;436215;59429;38401;5272;16253;139596;9884;254471;101786;266572;0;41576;2816
TOTAL IGUAL A LA SUMA DEL ACTIVO;5728246;1841951;27575062;102051627;79791131;10499874;3408255;721420;2634629;16212071;1402499;32977377;30251429;55161713;0;1903221;920440
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;123017;68296;1768975;3228833;2992400;344017;59581;34037;262088;1074133;228166;1117221;1129821;1640370;0;325181;38747
GASTOS FINANCIEROS;54682;25629;749775;1590675;1147728;178745;11366;15626;69241;350424;43228;440798;463510;866225;0;28821;24508
MARGEN POR INVERSIÓN;68335;42667;1019200;1638158;1844671;165272;48215;18411;192848;723709;184938;676423;666310;774146;0;296360;14240
PRODUCTOS POR SERVICIOS;485362;3067;19344;179853;393670;31237;2109;393;10396;163675;5632;43697;103035;153421;0;47537;206
GASTOS POR SERVICIOS;12985;2570;15098;0;0;7511;4;0;25989;47602;4844;37980;64598;13765;0;16330;104
MARGEN POR SERVICIOS;472377;497;4246;179853;393670;23726;2105;393;-15593;116073;788;5717;38437;139656;0;31207;102
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;1281;1117;1213;414307;117432;65402;65655;1896;4753;32039;37;149715;49875;150955;0;3509;277
Gastos;20314;3097;109788;384605;461653;56636;7088;933;66302;332996;86176;162250;292047;275986;0;36024;116
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-19033;-1980;-108575;29702;-344221;8766;58567;963;-61549;-300957;-86139;-12535;-242172;-125031;0;-32516;161
MARGEN OPERACIONAL BRUTO;521680;41184;914871;1847713;1894120;197764;108886;19767;115705;538825;99586;669605;462575;788771;0;295051;14502
GASTOS DE ADMINISTRACIÓN;111209;35250;504536;1004341;1435553;137845;65170;16568;110411;446904;89688;359077;363485;535925;0;253137;8912
MARGEN OPERACIONAL NETO;410471;5934;410335;843372;458567;59919;43717;3199;5294;91921;9898;310528;99090;252846;0;41914;5590
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-398760;1826;25111;25513;-12546;-215;623;2791;12162;58743;6722;10746;20822;33459;0;13524;0
Productos Extraordinarios;47840;2284;25925;27467;16860;409;682;3087;12666;62188;6722;14707;28900;34168;0;15023;0
Gastos Extraordinarios;446600;457;813;1954;29406;624;59;296;504;3445;0;3960;8078;709;0;1498;0
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;4695;-453;-5116;749;6361;-276;118;15;-579;-105;-380;0;4140;-48;0;189;-1367
Productos de Ejercicios Anteriores;5292;330;1336;1200;11930;1;417;16;2;236;499;0;5351;9984;0;189;288
Gastos de Ejercicios Anteriores;596;783;6452;451;5569;276;300;1;580;341;880;0;1211;10033;0;0;1655
GANANCIA (PÉRDIDA) BRUTA;16406;7307;430330;869634;452383;59429;44457;6005;16877;150558;16240;321275;124052;286257;0;55627;4223
IMPUESTO SOBRE LA RENTA;0;0;69729;57420;16167;0;6056;733;624;10962;6356;66804;22266;19685;0;14052;1408
GANANCIA (PÉRDIDA) NETA;16406;7307;360602;812214;436215;59429;38401;5272;16253;139596;9884;254471;101786;266572;0;41576;2816
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
