PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
PROVISIONES;47139;1410;110496;38353;635382;50184;42530;2220;23026;53365;9298;59695;135649;41611;74798;2536;2894
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;3776394;0;23359;0;0;0;428251;0;0;0;895434;0;37000;0
CRÉDITOS DIFERIDOS;9290;4526;109904;95127;84076;27510;102;4020;6490;35128;11;46586;111348;51705;48753;672;31636
SUMA;4926034;1694779;23850978;100394140;77137955;10241292;4249419;622623;2710029;16265883;1279295;31477069;29030391;51285325;1316108;802224;365051
OTRAS CUENTAS ACREEDORAS;59571;7967;328160;289498;498246;33916;0;10247;2231;85262;32979;178897;186995;130924;17545;1402;5548
CAPITAL CONTABLE;245799;334399;3942315;9227533;7984110;1047089;345417;155683;319530;1618783;176044;3045176;2637937;5138181;577422;125645;59999
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;105001;109000;48000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;200000;500000;100000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;94999;391000;52000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;220553;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;960819;13895;2831692;3534938;5803341;234895;35048;11207;17276;627495;11137;404813;345015;1524547;369499;841;884
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;157813;63439;35558;55859;23155;12757;0;10505;0;4963;0;23635;21958;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;10429;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;32470;0;77741;0;5659;0;0;0;0;4063;9044;204396;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-1049442;3792;775009;1572082;936186;147212;222674;5634;96742;436989;64324;1557869;551164;529355;85454;15247;10330
RESULTADOS DEL EJERCICIO;12043;2103;67742;134306;91887;10394;7483;2137;582;13739;407;25031;15331;58396;17468;557;785
TOTAL IGUAL A LA SUMA DEL ACTIVO;5231404;2037146;28121453;109911171;85620311;11322296;4594835;788552;3031790;17969928;1488318;34701142;31855324;56554430;1911075;929271;430598
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;22298;11512;307820;490949;567890;59309;14098;5671;44705;153516;15748;193335;197646;267739;79738;6270;4206
GASTOS FINANCIEROS;10354;4755;116756;264590;193525;25455;3044;2625;13155;62164;10356;79191;72138;134838;4651;3847;1995
MARGEN POR INVERSIÓN;11944;6758;191063;226359;374366;33854;11055;3047;31550;91352;5392;114144;125508;132900;75087;2423;2211
PRODUCTOS POR SERVICIOS;46453;1887;2522;33534;97370;6092;486;54;2004;41506;973;9747;18491;27721;9779;25;108
GASTOS POR SERVICIOS;2625;464;3425;0;0;737;1;1;5582;9496;724;11512;11678;2230;2564;9;74
MARGEN POR SERVICIOS;43828;1423;-903;33534;97370;5354;486;53;-3578;32010;249;-1765;6813;25491;7215;16;33
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;344;177;233;38432;11312;3697;12365;1480;873;4687;0;20884;6292;10668;816;12;8
Gastos;557;215;19743;1222;116043;6022;3237;0;11794;9435;3874;29566;63271;30568;14316;305;0
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-213;-37;-19510;37210;-104731;-2325;9128;1480;-10921;-4747;-3874;-8682;-56980;-19900;-13500;-293;8
MARGEN OPERACIONAL BRUTO;55559;8143;170651;297103;367005;36882;20669;4579;17051;118615;1767;103696;75341;138492;68802;2145;2252
