PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
PROVISIONES;48389;1700;115940;46973;675257;52859;43968;2474;25290;59054;10188;64005;140019;32420;78174;2644;2991
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;3738972;0;23128;0;0;0;424007;0;0;0;886560;0;19000;0
CRÉDITOS DIFERIDOS;8553;4698;110096;95232;86021;26890;85;3827;6502;36981;10;45896;111980;52357;44778;673;32126
SUMA;5095928;1641198;23940586;99425782;77667026;10230988;3987399;629487;2829878;16122262;1289296;31680181;29151095;51609525;1303253;812284;390701
OTRAS CUENTAS ACREEDORAS;43333;7744;338059;355037;487398;30034;0;10411;2479;88479;39105;175007;164381;148768;18693;799;5803
CAPITAL CONTABLE;253763;332593;3855160;9222797;8058715;1056493;348962;151075;322522;1644481;181196;3046844;2653795;5189605;589666;119376;51169
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;105001;109000;48000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;200000;500000;100000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;94999;391000;52000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;220553;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;961003;14953;3422524;3534938;5808676;234895;35048;11493;17276;627495;11137;404813;349790;2054049;369499;1295;1398
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;157445;63247;35232;55839;23155;12757;0;10488;0;4932;0;23525;21901;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;193250;0;10429;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;30474;0;75638;0;6156;0;0;0;0;4910;7627;196385;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-1049442;-1936;34336;1452070;936186;147212;222674;0;96742;436989;69181;1557869;537808;0;85454;6792;65
RESULTADOS DEL EJERCICIO;20190;5161;132750;249601;182235;19798;10532;2894;3574;39467;703;25961;41243;117684;29711;2288;1706
TOTAL IGUAL A LA SUMA DEL ACTIVO;5393023;1981535;28133805;109003615;86213140;11317515;4336361;790974;3154878;17855222;1509598;34902032;31969271;56947898;1911612;932459;447673
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;44136;23300;598722;947772;1130273;116555;24480;11195;95963;315984;43199;381398;377819;524865;151485;14712;8483
GASTOS FINANCIEROS;19886;9155;224288;503866;371237;47818;5691;5010;25142;118676;19597;150886;137178;258156;8602;7287;3841
MARGEN POR INVERSIÓN;24250;14145;374434;443906;759036;68738;18789;6185;70821;197309;23602;230512;240641;266708;142883;7425;4642
PRODUCTOS POR SERVICIOS;192373;3837;5217;65710;175823;11823;966;107;2710;68508;1871;16704;35215;56545;19223;51;240
GASTOS POR SERVICIOS;5364;937;6848;0;0;1443;1;2;9895;18421;1608;28767;26913;4578;6133;47;150
MARGEN POR SERVICIOS;187009;2900;-1632;65710;175823;10380;965;105;-7185;50087;263;-12063;8303;51967;13090;4;91
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;267;466;418;101220;26544;7581;23686;1503;1769;9304;0;48126;13505;22662;1392;33;65
Gastos;1036;270;46942;13960;243032;14182;8072;0;28984;38591;9712;91795;95173;61338;28355;1825;0
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-769;196;-46523;87260;-216488;-6601;15614;1503;-27215;-29288;-9712;-43669;-81668;-38676;-26964;-1792;65
MARGEN OPERACIONAL BRUTO;210489;17241;326279;596875;718370;72517;35368;7794;36421;218108;14153;174779;167275;279999;129009;5637;4797
GASTOS DE ADMINISTRACIÓN;41018;11806;178321;363804;522365;48516;22586;5202;38860;191726;24764;152856;126725;166512;96643;3050;3052
MARGEN OPERACIONAL NETO;169472;5435;147958;233071;196005;24001;12782;2592;-2439;26382;-10611;21923;40550;113487;32366;2587;1746
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-152058;-494;10013;16054;11860;-186;33;534;5093;29245;3249;8481;13582;11824;7249;0;153
Productos Extraordinarios;19669;100;10164;16689;21233;82;43;610;5497;30249;3249;10713;14685;11847;7474;0;174
Gastos Extraordinarios;171726;594;151;635;9374;268;9;76;404;1004;0;2232;1103;23;225;0;22
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;2777;219;10;18293;-1042;-155;-45;5;920;10788;9123;0;-1842;-844;0;10;-118
Productos de Ejercicios Anteriores;2927;835;755;18454;1815;0;18;12;1545;10867;10226;0;1326;2413;0;12;28
Gastos de Ejercicios Anteriores;150;616;745;161;2857;155;63;7;625;80;1103;0;3168;3257;0;2;146
GANANCIA (PÉRDIDA) BRUTA;20190;5161;157981;267418;206823;23660;12770;3130;3574;66414;1762;30404;52290;124467;39615;2597;1780
IMPUESTO SOBRE LA RENTA;0;0;25232;17817;24588;3862;2238;236;0;26947;1059;4443;11047;6783;9904;309;75
GANANCIA (PÉRDIDA) NETA;20190;5161;132750;249601;182235;19798;10532;2894;3574;39467;703;25961;41243;117684;29711;2288;1706
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;603364;212693;3320360;8983236;10254918;965171;477389;85615;241762;1480638;181737;2656417;2629569;4931315;161693;52460;17522
Encaje Requerido;597102;211138;3318146;8963531;10172975;955863;468258;85240;236836;1478523;181225;2582174;2599532;4914432;160615;44103;13755
Posición;6262;1554;2214;19705;81943;9308;9130;375;4926;2115;513;74244;30037;16884;1078;8356;3768
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;1727;5535;3405;297594;47050;47549;27635;337;24335;76983;378;230181;123620;202265;1236;8475;277
Encaje Requerido;1176;3132;2133;290661;28963;47357;20198;217;16800;76536;43;221673;121365;197960;250;7665;181
Posición;551;2402;1272;6933;18087;192;7437;120;7536;447;336;8507;2255;4305;986;810;96
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1783112;910401;15593243;29205080;32330677;4099281;12619;302039;1283086;6356987;883490;13423868;14301490;12486505;1342465;184540;27845
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
