PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
PROVISIONES;48635;1984;119681;55941;693494;51124;44632;2523;28068;64657;10812;69313;140410;39006;82276;2735;3101
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;3741765;0;23145;0;0;0;424324;0;0;0;887223;0;19000;0
CRÉDITOS DIFERIDOS;8620;5185;110233;102645;87902;26854;110;3591;6258;37380;9;47194;114098;53131;41507;753;32738
SUMA;5045634;1629984;24174143;101393191;77821218;10077339;3771462;602848;2872589;15942838;1272252;31754114;28760687;50986541;1318660;809385;405620
OTRAS CUENTAS ACREEDORAS;41509;6642;338295;113112;487107;27933;0;10135;2238;95754;32162;180088;141618;125298;20402;745;5160
CAPITAL CONTABLE;269168;335578;3904201;9503565;7805406;1068466;358718;152174;325475;1774994;191944;3092326;2776811;5062137;603935;120099;52546
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1270756;2268012;105001;109000;48000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;200000;500000;100000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;729244;731988;94999;391000;52000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;220553;0;8;1525755;55740;41;0;0;0;0;0;0;552999;553476;0;0;0
RESERVA DE CAPITAL;960891;14953;3422524;3534938;6396120;234895;35048;11493;17276;712495;11137;404813;349790;1852108;454954;1295;1398
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;157077;63055;34906;55819;23155;12757;0;10472;0;4902;0;23414;21844;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38369;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;193250;0;10429;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;26361;0;70465;0;6321;0;0;0;0;5540;6157;179852;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-1049442;-1936;34336;1572082;0;147212;222674;0;96451;436989;79904;1557869;540130;0;0;6792;275
RESULTADOS DEL EJERCICIO;36077;8270;186230;410377;282841;31770;20123;4009;6819;85010;727;70924;83581;208690;43980;3011;2873
TOTAL IGUAL A LA SUMA DEL ACTIVO;5356311;1972203;28416638;111009867;86113731;11173738;4130179;765157;3200302;17813585;1496359;35026529;31679116;56173977;1942997;930229;463326
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;69451;36383;913570;1642390;1730890;175953;38527;17487;147962;477983;72487;599585;591441;825213;231952;20665;13573
GASTOS FINANCIEROS;30990;14309;342344;880039;566786;73378;7452;7583;38201;178437;36938;230448;208150;394718;13191;10882;6026
MARGEN POR INVERSIÓN;38460;22074;571226;762351;1164104;102575;31075;9905;109761;299546;35550;369138;383291;430495;218761;9784;7547
