PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
PROVISIONES;52062;2395;116214;59764;658505;50405;44284;2194;21253;47699;14157;60504;136231;57258;0;75728;1946
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1440414;0;23358;0;0;0;428231;0;0;0;973253;0;0;37000
CRÉDITOS DIFERIDOS;23287;3782;110562;89666;75974;28112;54;4804;5396;34555;28;35794;92363;46842;0;65152;550
SUMA;5104736;1581823;24487457;94460701;73715827;9738199;3902953;588559;2480817;15007858;1240810;30279374;28604223;49880403;0;1356226;817307
OTRAS CUENTAS ACREEDORAS;43366;6002;327208;43867;483736;29684;0;11590;1564;62124;5;208696;150659;50987;0;28380;2412
CAPITAL CONTABLE;181423;323752;3748853;8726778;7811205;987607;399852;155634;304842;1790668;206167;2980619;2635170;4880578;0;534295;120227
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;0;105001;109000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;0;200000;500000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;0;94999;391000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;220553;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;789410;13895;2909006;3550385;6031578;234895;35048;11776;14721;852495;11137;384523;345015;1586315;0;369499;841
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;159285;64212;35602;55938;23155;12757;0;10571;0;10831;0;24076;22226;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;8378;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;28157;0;68350;0;4518;0;41;0;0;17619;9489;53782;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-959735;-17040;9170;0;0;0;217623;0;48203;184032;84385;1172373;465388;0;0;0;6157
RESULTADOS DEL EJERCICIO;27896;11515;567072;1190106;636322;98124;66059;7088;36948;207713;10469;352261;97625;418993;0;59795;4229
TOTAL IGUAL A LA SUMA DEL ACTIVO;5329524;1911577;28563518;103231345;82010767;10755490;4302805;755784;2787223;16860650;1446982;33468688;31390052;54811968;0;1918901;939945
