PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
PROVISIONES;49304;1419;99618;42686;617370;47897;42046;1796;17891;36753;12984;53872;129708;22085;0;71799;1686
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1426111;0;23126;0;0;0;423979;0;0;0;963589;0;0;37000
CRÉDITOS DIFERIDOS;5738;3779;110694;88959;71887;26265;55;5252;4926;35001;40;35696;91459;49961;0;48898;390
SUMA;5155625;1554082;23635118;93931041;72436131;9544493;3134826;562545;2352446;14641578;1208731;29548501;27265668;50123191;0;1286280;824369
OTRAS CUENTAS ACREEDORAS;42728;4416;329766;42596;476036;31410;0;11683;692;60368;5;203044;106010;46363;0;22925;1334
CAPITAL CONTABLE;176358;321693;3608253;8463970;7680583;957646;383360;154711;289465;1671254;205720;3060963;2641653;4787083;0;648323;119300
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;0;105001;109000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;0;200000;500000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;0;94999;391000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;219653;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;788843;13895;2909007;3550385;6031578;234895;35048;11776;14721;579311;11137;384523;345015;1600306;0;494499;841
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;160021;64604;36210;55978;23155;12757;0;10604;0;10960;0;24297;22381;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;8378;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;29460;0;71269;0;4738;0;18;0;0;18498;9885;54999;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-959735;-17040;9170;0;0;0;217623;0;48203;382216;84385;1328373;465388;0;0;0;6157
RESULTADOS DEL EJERCICIO;23562;9065;424561;927258;502780;68163;49347;6132;21593;163169;10022;275506;103558;310291;0;48823;3303
TOTAL IGUAL A LA SUMA DEL ACTIVO;5374711;1880192;27573137;102437607;80592750;10533550;3518186;728939;2642603;16373199;1414456;32812508;30013330;54956638;0;1957528;945003
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;156455;80187;2068592;3773778;3507059;403737;76735;39582;304863;1252019;267704;1300195;1289058;1919332;0;384704;44845
GASTOS FINANCIEROS;63820;30129;875125;1869410;1345399;206132;13168;18155;81309;411258;50643;525828;540604;1012452;0;33843;28736
MARGEN POR INVERSIÓN;92635;50058;1193467;1904368;2161660;197605;63567;21427;223554;840761;217061;774367;748454;906880;0;350861;16108
PRODUCTOS POR SERVICIOS;495662;3653;22216;209582;476093;36251;2302;584;12001;203231;6172;53353;120474;181744;0;53559;228
GASTOS POR SERVICIOS;14162;3014;18034;0;0;8036;5;0;29443;55847;5386;57809;72590;16150;0;19757;142
MARGEN POR SERVICIOS;481500;638;4182;209582;476093;28215;2297;584;-17443;147385;787;-4457;47884;165594;0;33802;86
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;1760;1350;2405;468265;131279;69081;74383;1903;5604;37348;37;174832;55981;163207;0;4367;338
Gastos;30873;3033;124789;448319;568683;66105;7366;882;74182;405780;105929;194758;336457;306719;0;46893;116
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-29114;-1683;-122385;19946;-437404;2976;67018;1021;-68578;-368432;-105892;-19927;-280476;-143512;0;-42526;222
MARGEN OPERACIONAL BRUTO;545021;49014;1075264;2133896;2200350;228796;132882;23032;137534;619713;111955;749984;515862;928962;0;342137;16416
GASTOS DE ADMINISTRACIÓN;132460;41003;584715;1172448;1666313;159636;76259;19063;128247;512672;102586;418024;421478;627376;0;292666;10281
MARGEN OPERACIONAL NETO;412562;8010;490549;961449;534037;69160;56622;3969;9287;107040;9369;331959;94384;301585;0;49471;6135
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-393887;1590;29541;29871;-22111;-621;802;3090;14443;68291;7569;15464;26400;36811;0;15929;0
Productos Extraordinarios;65725;2311;30480;32142;19952;721;863;3414;15083;72271;7569;20595;35571;37520;0;17531;0
Gastos Extraordinarios;459612;721;939;2271;42063;1342;61;324;641;3980;0;5132;9171;709;0;1602;0
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;4887;-535;-11261;732;7219;-376;113;10;-579;-175;-465;0;4453;-4593;0;189;-1367
Productos de Ejercicios Anteriores;5503;355;1455;1202;12813;1;415;16;2;236;499;0;5836;10065;0;189;288
Gastos de Ejercicios Anteriores;616;891;12716;469;5594;376;302;6;580;411;964;0;1383;14658;0;0;1655
GANANCIA (PÉRDIDA) BRUTA;23562;9065;508830;992052;519145;68163;57537;7069;23151;175156;16473;347423;125237;333803;0;65588;4768
IMPUESTO SOBRE LA RENTA;0;0;84269;64794;16364;0;8191;937;1558;11986;6451;71917;21680;23512;0;16765;1465
GANANCIA (PÉRDIDA) NETA;23562;9065;424561;927258;502780;68163;49347;6132;21593;163169;10022;275506;103558;310291;0;48823;3303
