PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
TOTAL IGUAL A LA SUMA DEL ACTIVO;5534610;2037961;28676074;112362517;87432128;11439168;4312208;765152;3165145;18026749;1536311;34464484;32333473;56565789;1936622;913513;493224
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;93892;48117;1219225;2147583;2313919;231618;49298;22876;204326;637446;101360;806218;796297;1085818;308529;26036;17773
GASTOS FINANCIEROS;41754;18839;457279;1135905;757859;97891;10677;10000;50556;236431;47705;302354;273549;526587;17650;14286;8291
MARGEN POR INVERSIÓN;52137;29278;761946;1011678;1556060;133727;38621;12876;153770;401015;53654;503865;522748;559232;290878;11750;9481
PRODUCTOS POR SERVICIOS;373286;7557;11228;133910;351766;24270;2020;265;5945;134792;3675;36818;71409;113696;39053;140;531
GASTOS POR SERVICIOS;9768;1965;15264;0;0;3467;1;4;19129;36252;3395;61123;47519;8876;12520;195;331
MARGEN POR SERVICIOS;363519;5592;-4036;133910;351766;20802;2019;260;-13184;98541;280;-24305;23889;104820;26534;-55;200
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;1104;857;937;175821;88726;15217;50732;1599;3659;23062;0;94137;37670;72172;2647;172;73
Gastos;6948;633;61200;14441;492809;23812;13800;196;71182;96254;15270;179697;163245;122472;60767;1768;0
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-5843;224;-60264;161380;-404083;-8595;36932;1403;-67523;-73192;-15270;-85560;-125575;-50300;-58120;-1597;73
MARGEN OPERACIONAL BRUTO;409813;35095;697646;1306968;1503743;145934;77573;14540;73064;426364;38664;393999;421062;613752;259292;10098;9754
GASTOS DE ADMINISTRACIÓN;84213;24956;396021;751309;1089733;96873;43868;10544;79046;384539;50893;323088;261571;347238;196194;6176;6507
MARGEN OPERACIONAL NETO;325600;10139;301625;555659;414010;49060;33705;3996;-5982;41825;-12229;70911;159491;266513;63098;3922;3247
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-281758;-703;22423;34107;22832;65;22;1506;11852;57011;5626;16277;26277;35958;15733;0;187
Productos Extraordinarios;36511;101;23068;35403;42190;583;114;1642;12320;59055;5626;22424;41007;36232;16051;0;213
Gastos Extraordinarios;318269;803;646;1296;19359;518;92;137;468;2044;0;6146;14731;274;318;0;26
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;4340;1029;-15227;18513;-2331;-164;-42;5;2148;34699;8806;0;-405;-6211;0;39;-179
Productos de Ejercicios Anteriores;4895;2067;1053;18868;8502;0;46;12;3380;34779;10301;0;3124;2697;0;42;34
Gastos de Ejercicios Anteriores;555;1038;16280;355;10833;164;89;7;1232;80;1495;0;3529;8908;0;2;214
GANANCIA (PÉRDIDA) BRUTA;48181;10465;308821;608279;434511;48961;33685;5506;8018;133535;2203;87189;185362;296260;78831;3962;3255
IMPUESTO SOBRE LA RENTA;0;0;64403;62018;57923;7987;4979;673;0;11843;1348;12563;35299;15235;19967;248;148
GANANCIA (PÉRDIDA) NETA;48181;10465;244418;546262;376588;40974;28706;4834;8018;121692;855;74626;150064;281025;58864;3713;3107
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;605483;210955;3356812;9240886;10303625;953325;482850;82030;235210;1480487;181249;2659098;2585500;4967864;160944;45997;46432
Encaje Requerido;603409;210287;3353324;9217713;10245337;944959;446107;81818;232184;1479210;181050;2556459;2572292;4924609;159974;42648;40974
Posición;2074;667;3488;23172;58288;8366;36744;212;3026;1277;199;102640;13208;43255;970;3349;5458
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;1991;7432;4800;319594;40328;49117;26982;395;22071;78332;275;245241;124366;219966;1327;9384;1004
Encaje Requerido;1078;3238;2361;312149;30390;48801;16366;343;18079;77509;41;240741;123553;216946;260;8031;661
Posición;913;4194;2439;7444;9937;316;10616;52;3991;823;234;4500;813;3020;1067;1353;343
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1825325;931116;16038150;29595936;32690855;4126045;11145;302300;1287496;6550509;886974;13573029;14946794;12588882;1350202;170899;27980
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);34985;85391;115024;30152900;4023429;2770832;892;647;640066;4604845;431;10771186;9276104;10690287;0;269990;2392
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;65123;11882;39658;1355416;1490479;88768;358;3375;2629;124109;0;177958;155191;453050;324472;609;310
Monto Depósitos Monetarios;2080502;341622;1508436;26773583;25810424;2714074;2616904;75611;278217;1690964;0;8013436;5584565;12404307;564498;13641;17313
No. de Cuentas Depósitos de Ahorro;33978;54094;409188;1434492;4252811;87899;0;18921;14816;207441;42860;397590;566976;887149;0;309;274
Monto Depósitos de Ahorro;760545;330663;3912507;13296462;22693786;1318310;0;166483;110888;948030;75282;3055189;3918857;12755607;0;14747;13610
No. de Cuentas Depósitos a Plazo;1988;1813;23471;17168;57382;2446;1;394;646;4336;2649;3786;8554;11804;3446;385;402
Monto Depósitos a Plazo;1396646;774675;17654861;24063299;22502977;2591794;450000;313515;1207344;7540496;1183654;6305512;8235511;8807836;496952;267716;314338
No. de Cuentas a la Orden;395;21;10;111906;5123;613;0;962;119;958;28;3347;343615;0;51;0;0
Monto Depósitos a la Orden;4627;1977;13;25048;247965;10827;0;52;20;2434;718;9468;42475;0;33;0;0
